"No.","Time","Source","Destination","Protocol","Length","Info"
"1799","186.988454","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=440371 Win=65536 Len=0"
"1800","186.988503","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=7753 Ack=458707 Win=65536 Len=0"
"1801","186.992474","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=655860 Win=250880 Len=0"
"1802","186.992575","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=443291 Win=65536 Len=0"
"1803","186.992608","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=563405 Win=519680 Len=0"
"1804","186.992635","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=7753 Ack=461627 Win=65536 Len=0"
"1805","186.993785","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=657320 Win=250880 Len=0"
"1806","186.993895","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=7753 Ack=464547 Win=65536 Len=0"
"1807","186.996959","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=449131 Win=65536 Len=0"
"1808","186.997032","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=572165 Win=519680 Len=0"
"1809","186.997063","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=7753 Ack=467467 Win=65536 Len=0"
"1810","186.997813","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=7753 Ack=470387 Win=65536 Len=0"
"1811","186.997887","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=452051 Win=65536 Len=0"
"1812","186.997929","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=575085 Win=519680 Len=0"
"1813","187.001065","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=7753 Ack=476227 Win=65536 Len=0"
"1814","187.001171","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=456431 Win=65536 Len=0"
"1815","187.001228","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=580925 Win=519680 Len=0"
"1816","187.009409","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=457891 Win=65536 Len=0"
"1817","187.009522","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=7753 Ack=483527 Win=65536 Len=0"
"1818","187.009577","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=589685 Win=519680 Len=0"
"1819","187.010558","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=592605 Win=519680 Len=0"
"1820","187.010698","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=7753 Ack=487907 Win=65536 Len=0"
"1821","187.013270","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=602825 Win=519680 Len=0"
"1822","187.013370","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=7753 Ack=493747 Win=65536 Len=0"
"1823","187.013993","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=523958 Win=179456 Len=0"
"1824","187.014608","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=525418 Win=179456 Len=0"
"1825","187.015728","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=528338 Win=179456 Len=0"
"1826","187.025142","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=532718 Win=179456 Len=0"
"1827","187.026861","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=534178 Win=179456 Len=0"
"1828","187.029684","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=537098 Win=179456 Len=0"
"1829","187.034309","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=540018 Win=179456 Len=0"
"1830","187.037532","192.168.1.66","23.36.70.190","TCP","54","26759  >  443 [ACK] Seq=331 Ack=3854 Win=65280 Len=0"
"1831","187.039120","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=542938 Win=179456 Len=0"
"1832","187.050022","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=545858 Win=179456 Len=0"
"1833","187.053525","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=604285 Win=519680 Len=0"
"1834","187.059820","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=548778 Win=179456 Len=0"
"1835","187.060274","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=660240 Win=250880 Len=0"
"1836","187.060348","192.168.1.66","54.192.89.15","TCP","54","26762  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"1837","187.060686","192.168.1.66","54.192.89.15","TLSv1.2","269","Client Hello"
"1838","187.089120","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=460811 Win=65536 Len=0"
"1839","187.090339","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=663160 Win=250880 Len=0"
"1840","187.095647","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=551698 Win=179456 Len=0"
"1841","187.095701","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=7753 Ack=496667 Win=65536 Len=0"
"1842","187.095734","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=607205 Win=519680 Len=0"
"1843","187.100985","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=463731 Win=65536 Len=0"
"1844","187.101049","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=554618 Win=179456 Len=0"
"1845","187.105726","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=666080 Win=250880 Len=0"
"1846","187.124057","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=7753 Ack=499587 Win=65536 Len=0"
"1847","187.125167","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=610125 Win=519680 Len=0"
"1848","187.131356","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=557538 Win=179456 Len=0"
"1849","187.131428","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=669000 Win=250880 Len=0"
"1850","187.131459","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=613045 Win=519680 Len=0"
"1851","187.136771","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=7753 Ack=502507 Win=65536 Len=0"
"1852","187.136839","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=560458 Win=179456 Len=0"
"1853","187.136870","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=466651 Win=65536 Len=0"
"1854","187.148509","192.168.1.66","52.85.236.243","TCP","1514","26747  >  443 [ACK] Seq=4015 Ack=7290 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1855","187.148512","192.168.1.66","52.85.236.243","TLSv1.2","420","Application Data"
"1856","187.165914","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=563378 Win=179456 Len=0"
"1857","187.167916","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=615965 Win=519680 Len=0"
"1858","187.169960","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=671920 Win=250880 Len=0"
"1859","187.172217","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=7753 Ack=504616 Win=65536 Len=0"
"1860","187.172589","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=10117 Ack=566298 Win=179456 Len=0"
"1861","187.177076","192.168.1.66","54.192.89.15","TLSv1.2","477","Application Data"
"1862","187.177547","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=618885 Win=519680 Len=0"
"1863","187.177603","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=469571 Win=65536 Len=0"
"1864","187.182572","192.168.1.66","54.192.89.15","TLSv1.2","526","Application Data"
"1865","187.194078","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=674840 Win=250880 Len=0"
"1866","187.196512","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=621805 Win=519680 Len=0"
"1867","187.196846","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=677760 Win=250880 Len=0"
"1868","187.202243","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=472491 Win=65536 Len=0"
"1869","187.202315","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=624725 Win=519680 Len=0"
"1870","187.202346","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=680680 Win=250880 Len=0"
"1871","187.205548","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=627645 Win=519680 Len=0"
"1872","187.205642","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=475411 Win=65536 Len=0"
"1873","187.213979","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=8672 Ack=640734 Win=519680 Len=0"
"1874","187.214044","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=698200 Win=250880 Len=0"
"1875","187.214077","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=484171 Win=65536 Len=0"
"1876","187.214102","192.168.1.66","54.192.89.15","TCP","54","26762  >  443 [ACK] Seq=216 Ack=5043 Win=65536 Len=0"
"1877","187.214433","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=490011 Win=65536 Len=0"
"1878","187.214471","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=705500 Win=250880 Len=0"
"1879","187.216109","192.168.1.66","54.192.89.15","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"1880","187.216522","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=712800 Win=250880 Len=0"
"1881","187.216576","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=494391 Win=65536 Len=0"
"1882","187.218772","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=498771 Win=65536 Len=0"
"1883","187.218913","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=717180 Win=250880 Len=0"
"1884","187.219094","192.168.1.66","54.192.89.15","TLSv1.2","492","Application Data"
"1885","187.221373","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=725940 Win=250880 Len=0"
"1886","187.221449","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=504611 Win=65536 Len=0"
"1887","187.223899","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=733240 Win=250880 Len=0"
"1888","187.223978","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=510451 Win=65536 Len=0"
"1889","187.224213","192.168.1.66","54.192.89.15","TCP","66","[TCP Dup ACK 1876#1] 26762  >  443 [ACK] Seq=780 Ack=5043 Win=65536 Len=0 SLE=4381 SRE=5043"
"1890","187.224306","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=513371 Win=65536 Len=0"
"1891","187.224519","192.168.1.66","54.192.89.15","TLSv1.2","519","Application Data"
"1892","187.229404","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=736160 Win=250880 Len=0"
"1893","187.229481","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=516291 Win=65536 Len=0"
"1894","187.229514","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=8176 Ack=507536 Win=65536 Len=0"
"1895","187.233465","192.168.1.66","54.192.89.15","TLSv1.2","497","Application Data"
"1896","187.262440","192.168.1.66","54.192.89.15","TLSv1.2","487","Application Data"
"1897","187.270610","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=739080 Win=250880 Len=0"
"1898","187.271907","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=519211 Win=65536 Len=0"
"1899","187.272196","192.168.1.66","52.85.236.243","TCP","54","26747  >  443 [ACK] Seq=5841 Ack=8539 Win=64256 Len=0"
"1900","187.274666","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=742000 Win=250880 Len=0"
"1901","187.277824","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=9137 Ack=643654 Win=519680 Len=0"
"1902","187.280270","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=522131 Win=65536 Len=0"
"1903","187.280330","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=744920 Win=250880 Len=0"
"1904","187.280554","192.168.1.66","54.192.89.15","TCP","54","26762  >  443 [ACK] Seq=780 Ack=6426 Win=64256 Len=0"
"1905","187.305111","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=11032 Ack=571182 Win=179456 Len=0"
"1906","187.305184","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=9137 Ack=646574 Win=519680 Len=0"
"1907","187.306137","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=747840 Win=250880 Len=0"
"1908","187.311376","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=525051 Win=65536 Len=0"
"1909","187.311441","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=11032 Ack=574102 Win=179456 Len=0"
"1910","187.338808","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=9137 Ack=649494 Win=519680 Len=0"
"1911","187.340924","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=11032 Ack=577022 Win=179456 Len=0"
"1912","187.341237","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=750760 Win=250880 Len=0"
"1913","187.345914","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=527971 Win=65536 Len=0"
"1914","187.345976","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=11032 Ack=579942 Win=179456 Len=0"
"1915","187.348005","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=9137 Ack=652414 Win=519680 Len=0"
"1916","187.349313","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=8609 Ack=511490 Win=65536 Len=0"
"1917","187.352339","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=753680 Win=250880 Len=0"
"1918","187.366414","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=11032 Ack=582862 Win=179456 Len=0"
"1919","187.368072","192.168.1.66","54.192.89.15","TCP","54","26739  >  443 [ACK] Seq=9137 Ack=653880 Win=519680 Len=0"
"1920","187.368138","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=530891 Win=65536 Len=0"
"1921","187.372137","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=8609 Ack=514410 Win=65536 Len=0"
"1922","187.372969","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=11032 Ack=585782 Win=179456 Len=0"
"1923","187.377948","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=758060 Win=250880 Len=0"
"1924","187.378025","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=11032 Ack=588702 Win=179456 Len=0"
"1925","187.406295","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=759520 Win=250880 Len=0"
"1926","187.407610","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=533811 Win=65536 Len=0"
"1927","187.407697","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=11032 Ack=591622 Win=179456 Len=0"
"1928","187.413538","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=762440 Win=250880 Len=0"
"1929","187.417331","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=11032 Ack=594542 Win=179456 Len=0"
"1930","187.417423","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=536731 Win=65536 Len=0"
"1931","187.418069","192.168.1.66","54.192.89.15","TCP","54","26737  >  443 [ACK] Seq=8609 Ack=515459 Win=64512 Len=0"
"1932","187.423253","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=11032 Ack=598922 Win=179456 Len=0"
"1933","187.423491","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=765360 Win=250880 Len=0"
"1934","187.433965","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=11032 Ack=600382 Win=179456 Len=0"
"1935","187.436083","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=768280 Win=250880 Len=0"
"1936","187.436320","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=539651 Win=65536 Len=0"
"1937","187.442138","192.168.1.66","54.192.89.15","TCP","54","26738  >  443 [ACK] Seq=11032 Ack=603149 Win=179456 Len=0"
"1938","187.442215","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=771200 Win=250880 Len=0"
"1939","187.442245","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=542571 Win=65536 Len=0"
"1940","187.447289","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=790180 Win=250880 Len=0"
"1941","187.447398","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=554251 Win=65536 Len=0"
"1942","187.452968","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=9597 Ack=795049 Win=250880 Len=0"
"1943","187.453039","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=565931 Win=65536 Len=0"
"1944","187.453256","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=568851 Win=65536 Len=0"
"1945","187.455428","192.168.1.66","172.217.1.38","QUIC","1392","Client Hello, PKN: 1, CID: 12768246165944070486"
"1946","187.492004","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=571771 Win=65536 Len=0"
"1947","187.497687","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=574691 Win=65536 Len=0"
"1948","187.506265","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=577611 Win=65536 Len=0"
"1949","187.509154","192.168.1.66","172.217.1.38","QUIC","80","Payload (Encrypted), PKN: 2, CID: 12768246165944070486"
"1950","187.514567","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=580531 Win=65536 Len=0"
"1951","187.518463","192.168.1.66","172.217.1.38","QUIC","1392","Client Hello, PKN: 3, CID: 12768246165944070486"
"1952","187.521672","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=583451 Win=65536 Len=0"
"1953","187.529247","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=586371 Win=65536 Len=0"
"1954","187.536017","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=589291 Win=65536 Len=0"
"1955","187.545797","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=592211 Win=65536 Len=0"
"1956","187.563790","192.168.1.66","52.85.236.243","TCP","1514","26747  >  443 [ACK] Seq=5841 Ack=8539 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"1957","187.563792","192.168.1.66","52.85.236.243","TLSv1.2","1017","Application Data"
"1958","187.565241","192.168.1.66","72.21.207.136","TCP","1514","26731  >  443 [ACK] Seq=332 Ack=5066 Win=64768 Len=1460 [TCP segment of a reassembled PDU]"
"1959","187.565245","192.168.1.66","72.21.207.136","TLSv1.2","1304","Application Data"
"1960","187.569759","192.168.1.66","72.21.207.136","TCP","1514","26732  >  443 [ACK] Seq=332 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1961","187.569761","192.168.1.66","72.21.207.136","TCP","1514","26732  >  443 [ACK] Seq=1792 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1962","187.569762","192.168.1.66","72.21.207.136","TCP","1514","26732  >  443 [ACK] Seq=3252 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1963","187.569765","192.168.1.66","72.21.207.136","TCP","1514","26732  >  443 [ACK] Seq=4712 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1964","187.569766","192.168.1.66","72.21.207.136","TCP","1514","26732  >  443 [ACK] Seq=6172 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1965","187.569767","192.168.1.66","72.21.207.136","TLSv1.2","117","Application Data"
"1966","187.571759","192.168.1.66","172.217.1.38","QUIC","81","Payload (Encrypted), PKN: 4, CID: 12768246165944070486"
"1967","187.572009","192.168.1.66","172.217.1.38","QUIC","80","Payload (Encrypted), PKN: 5, CID: 12768246165944070486"
"1968","187.575145","192.168.1.66","52.85.236.243","TCP","1514","26743  >  443 [ACK] Seq=3687 Ack=19176 Win=64512 Len=1460 [TCP segment of a reassembled PDU]"
"1969","187.575147","192.168.1.66","52.85.236.243","TLSv1.2","329","Application Data"
"1970","187.575357","192.168.1.66","52.85.236.243","TLSv1.2","214","Application Data"
"1971","187.589397","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=8818 Ack=593194 Win=64512 Len=0"
"1972","187.612775","192.168.1.66","72.21.207.136","TCP","1514","26734  >  443 [ACK] Seq=332 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1973","187.612776","192.168.1.66","72.21.207.136","TLSv1.2","198","Application Data"
"1974","187.612985","192.168.1.66","72.21.207.136","TCP","1514","26734  >  443 [ACK] Seq=1936 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1975","187.612986","192.168.1.66","72.21.207.136","TCP","1514","26734  >  443 [ACK] Seq=3396 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1976","187.612988","192.168.1.66","72.21.207.136","TCP","1514","26734  >  443 [ACK] Seq=4856 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1977","187.612989","192.168.1.66","72.21.207.136","TCP","1514","26734  >  443 [ACK] Seq=6316 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1978","187.612989","192.168.1.66","72.21.207.136","TCP","1514","26734  >  443 [ACK] Seq=7776 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1979","187.612990","192.168.1.66","72.21.207.136","TCP","1514","26734  >  443 [ACK] Seq=9236 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1980","187.612990","192.168.1.66","72.21.207.136","TCP","1514","26734  >  443 [ACK] Seq=10696 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1981","187.612991","192.168.1.66","72.21.207.136","TCP","1514","26734  >  443 [ACK] Seq=12156 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1982","187.612992","192.168.1.66","72.21.207.136","TCP","1514","26734  >  443 [ACK] Seq=13616 Ack=5066 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1983","187.612992","192.168.1.66","72.21.207.136","TLSv1.2","161","Application Data"
"1984","187.630248","192.168.1.66","172.217.1.38","QUIC","77","Payload (Encrypted), PKN: 6, CID: 12768246165944070486"
"1985","187.657898","192.168.1.66","52.85.236.243","TCP","54","26747  >  443 [ACK] Seq=8264 Ack=9704 Win=65536 Len=0"
"1986","187.666178","192.168.1.66","72.21.207.136","TCP","54","26731  >  443 [ACK] Seq=3042 Ack=5369 Win=64512 Len=0"
"1987","187.680163","192.168.1.66","72.21.207.136","TCP","54","26732  >  443 [ACK] Seq=7695 Ack=5369 Win=65280 Len=0"
"1988","187.708829","192.168.1.66","52.85.236.243","TCP","1514","26747  >  443 [ACK] Seq=8264 Ack=9704 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"1989","187.708830","192.168.1.66","52.85.236.243","TLSv1.2","314","Application Data"
"1990","187.709065","192.168.1.66","52.85.236.243","TLSv1.2","185","Application Data"
"1991","187.710392","192.168.1.66","54.192.89.15","TLSv1.2","531","Application Data"
"1992","187.711913","192.168.1.66","54.192.89.15","TLSv1.2","504","Application Data"
"1993","187.733025","192.168.1.66","72.21.207.136","TCP","54","26734  >  443 [ACK] Seq=15183 Ack=5457 Win=65024 Len=0"
"1994","187.788751","192.168.1.66","52.85.236.243","TCP","54","26743  >  443 [ACK] Seq=5582 Ack=20327 Win=65536 Len=0"
"1995","187.801261","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=9295 Ack=596783 Win=65536 Len=0"
"1996","187.802153","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=10047 Ack=798537 Win=250880 Len=0"
"1997","187.815966","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=9295 Ack=599703 Win=65536 Len=0"
"1998","187.818065","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=10047 Ack=801457 Win=250880 Len=0"
"1999","187.818392","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=9295 Ack=602623 Win=65536 Len=0"
"2000","187.820439","192.168.1.66","54.192.89.15","TCP","54","26740  >  443 [ACK] Seq=9295 Ack=605543 Win=65536 Len=0"
"2001","187.833388","192.168.1.66","52.85.236.243","TCP","1514","[TCP Retransmission] 26747  >  443 [PSH, ACK] Seq=8655 Ack=9704 Win=65536 Len=1460"
"2002","187.847392","192.168.1.66","54.192.89.15","TCP","54","26735  >  443 [ACK] Seq=10047 Ack=804377 Win=250880 Len=0"
